offensive,text
1,"['miam', 'luat', 'eap', 'cumparand', 'model', 'dispozitiv', 'deoarece', 'stecherul', 'intra', 'priza', 'brichetei', 'masina', 'scurt', 'scurt', 'volkswagen', 'polo', 'intales', 'producator', 'lam', 'cumparat', 'merge', 'masina', 'specifica', 'niciun', 'detaliu', 'merge', 'trebuia', 'cumparat', 'dintrun', 'magazin', 'fizic', 'oras', 'putea', 'proba', 'internet']"
1,"['merita', 'puse', 'bine', 'buci', 'scurgeri', 'garantez']"
1,"['vine', 'cred', 'dai', 'rating', 'minim', 'rahat', 'cablu', 'imprimanta', 'cumperi', 'cataloghezi', 'faptul', 'cablu', 'usb', 'telefoanele', 'vin', 'casti', 'minim', 'sistemul', 'superb', 'modul', 'cinema', 'extraordinar', 'folosesc', 'camera', 'mp', 'filmele', 'aud', 'superb', 'ieri', 'uitam', 'film', 'dts', 'efectele', 'auzeau', 'super', 'faptul', 'utilizez', 'tv', 'lg', 'conectat', 'optic', 'practic', 'folosesc', 'telecomanda', 'recomand']"
1,"['cap', 'treaca', 'luati', 'gunoi', 'chinezesc', 'rusine', 'vanda', 'stea', 'posta']"
1,"['gunoi', 'merge', 'greu', 's', 'stricat', 'cateva', 'luni', 'ram', 'ars', 'probleme']"
1,"['adrian', 'om', 'desteptcu', 'caracter', 'bun', 'meseria', 'stiu', 'injosit', 'vina', 'vorbeasca', 'oamenii', 'astia', 'accepta', 'cacaturile', 'prostiile', 'viata']"
0,['felicitri']
0,"['minut', 'puteai', 'vezi', 'scrie', 'duci', 'cabina']"
1,"['cred', 'varza', 'esti', 'bai', 'gogule', 'folosesc', 'luni', 'uz', 'casnic', 'incarcat', 'acumulatorul']"
1,"['needucati', 'astai', 'generatia']"
1,"['ofer', 'banca', 'manual', 'utilizare', 'complex', 'exemplu', 'piesele', 'numerotate', 'ofere', 'cd', 'link', 'instalare', 'rest', 'respectul', 'recomand', 'indiferent', 'nlime', 'consider', 'c', 'dac', 'putea', 'neal', 'contra', 'nr', 'emag', 'rominia', 'astepari', 'firme', 'profit', 'sportiv', 'niciodat', 'profit', 'cauza', 'preturilor', 'nesimtite', 'greutati', 'umplute', 'ciment', 'fier', 'nelegem', 'realiti', 'dobitici', 'cumpara', 'aparat', 'cai', 'vb', 'aparat', 'multifunctional', 'banca', 'multifunctionala', 'comparai', 'ofer', 'emag', 'firme', 'mesaj', 'emag', 'reveniti', 'primavara', 'frumosa', 'doamne', 'domnisoare']"
0,"['fac', 'eumi', 'pare', 'usoara']"
0,"['wow', 'super', 'tare', 'esti', 'bucatareasa', 'nota']"
0,"['cata', 'dreptate', 'petre', 'roman', 'statul', 'roman', 'nea', 'tradat']"
1,"['scrie', 'clar', 'anunt', 'tristi', 'sunteti']"
0,"['politistii', 'doua']"
1,"['incepe', 's', 'mput', 'treaba', 'market', 'emag', 'doare', 'motul', 'basc', 'c', 'partenerii', 'vnd', 'ciurucurile', 'oblduirea', 'emag', 'profit', 'renumele', 'emag', 'veni', 'vremea', 'cnd', 'prabusi']"
1,"['plasat', 'comanda', 'emag', 'doua', 'contactat', 'firma', 'distribuitoare', 'bestkids', 'anuntat', 'produsul', 'stoc', 'intrebat', 'doamna', 'acord', 'astept', 'timp', 'pana', 'primi', 'produsul', 'zis', 'astept', 'luna', 'februarie', 'contactat', 'bestkids', 'email', 'telefonic', 'verific', 'stadiu', 'comanda', 'email', 'telefoanele', 'site', 'mia', 'raspuns', 'concluzionez', 'firma', 'serioasa', 'recomand']"
0,"['ha', 'ha', 'ha', 'ha']"
0,"['poporu', 'devina', 'votat', 'lichelele']"
1,"['aspira', 'binisor', 'utilizari', 'numarate', 'hotarat', 'bine', 'smulge', 'firul', 'decat', 'sal', 'taie', 'cosul', 'cumparaturi', 'direct', 'cosul', 'gunoi']"
1,"['serios', 'probleme', 'mari', 'cap', 'crezi', 'cauza', 'cablului', 'deconectat', 'incarcare', 'descarca', 'repede', 'telefonul', 'iati', 'telefon', 'calitate', 'overpriced', 'shit', 'baterie', 'mah', 'dai', 'cablu', 'review', 'stea', 'cunostinta', 'valorezi']"
0,"['stii', 'asi', 'putea', 'editez', 'video', 'langa', 'gen', 'doua', 'locuri', 'deodata', 'stiu', 'suna', 'ciudatda', 'program', 'pt', 'telefon', 'asi', 'putea']"
1,"['dreptate', 'mare', 'teapa', 'cumparat', 'venit', 'cadou', 'acte', 'rupt', 'capacul', 'incarcare', 'bateria', 'putin', 'consecinta', 'recomand', 'teapa', 'strica', 'duci', 'direct', 'ghena', 'acte', 'rusine', 'emag']"
0,"['incercat', 'cateva', 'fac', 'negresa', 'mia', 'iesit', 'incercat', 'reteta', 'super', 'bun', 'mersii']"
1,"['folosesti', 'detergent', 'ccat', 'dero', 'mizerii', 'ieftine', 'daia', 'infundat', 'legatura', 'masina', 'spalat']"
1,"['attea', 'likeuri', 'saracule']"
1,"['nesimtiti', 'invrednicit', 'raspunda', 'celei', 'importante', 'intrebari']"
1,"['esti', 'culmea', 'mearga', 'moment', 'comercializat', 'companiile', 'telefonie', 'mobila', 'stiu', 'chinezarie', 'contrafacuta', 'lei', 'tiai', 'cumparat', 'vorbesti', 'prostii']"
0,"['fetele', 'perverse', 'zburator', 'xd']"
1,"['dimensiunile', 'domnule', 'sugeeugen', 'egal', 'tablete', 'inch', 'puse']"
1,"['iau', 'pl', 'comand', 'culoare', 'lila', 'trimit', 'culoare', 'dute', 'mm', 'chef', 'returnari', 'jegosilor', 'futuvan', 'morti']"
0,"['fa', 'video', 'poze', 'postmortem']"
0,"['faceti', 'documentar', 'revolutie', 'ani', 'aduceti', 'vorbeasca', 'mincinosi', 'neau', 'prostit', 'ani', 'ctp', 'elogia', 'fosta', 'scanteia', 'iliescu', 'timp', 'minerii', 'omorau', 'oameni', 'strada', 'esca', 'spunea', 'stiri', 'informatio', 'deformate', 'cred', 'consuma', 'minciuna', 'atati', 'ani', 'revolutia', 'existat', 'facuta', 'romani', 'pacat', 'sangele', 'varsat', 'trnsfer', 'putere', 'ceausescu', 'iliescu', 'fosta', 'securitate']"
1,"['dracu', 'ieri', 'telefonu', 'azi', 'black', 'kakat', 'prostiti', 'lumea']"
0,"['adrian', 'vine', 'dintro', 'lume', 'popo', 'dorian', 'vine', 'lume', 'inteleg', 'dc', 'impreuna', 'vorbeasca']"
1,"['cacat', 'brad', 'cm', 'partea', 'jos', 'gol', 'ciot', 'cumparati', 'rahatul', 'transportul', 'lei', 'plus', 'retur', 'platesti', 'transportul', 'mitici', 'borati', 'tepari', 'nota', 'trebuie', 'muistilor', 'chinezarii', 'ieftine', 'aratati', 'vindeti', 'inselatorie']"
0,['intamplat']
0,"['super', 'documentarul', 'mergeti', 'departe', 'schimba']"
1,"['merita', 'banii', 'poze', 'miscate', 'bateria', 'incinge', 'ft', 'repede', 'procesor', 'prost', 'recomand', 'bn', 'iei', 'iphone', 'banii', 'astia', 'stea', 'merita']"
0,"['min', 'derula', 'pana', 'acolo', 'vad', 'intampla', 'dintro', 'data', 'mareste', 'imaginea', 'fisierului', 'numi', 'seama', 'facut', 'dublu', 'click', 'sageti', 'etc', 'marit', 'imaginea']"
1,"['wtf', 'incredibil', 'macbook', 'proul', 'acum', 'boteaza', 'minute', 'enerveaza', 'culme', 'vreau', 'ssd', 'aprinde', 'sec', 'multumit', 'instaleaza', 'gresu', 'osxul']"
1,"['serios', 'esti', 'batut', 'cap', 'pui', 'dvr', 'naibai', 'vazut', 'ssdul', 'pune', 'anumite', 'electronice', 'pc', 'laptop', 'ssd', 'extern', 'viata', 'lunga', 'dvrul', 'omoraa', 'repede', 'scrie', 'rescrie', 'imagine', 'infine', 'esti', 'batut', 'cap', 'explicam', 'ssdul', 'facut', 'mearga', 'non', 'stop', 'fragile', 'pene', 'curent']"
0,['rog']
1,"['comandat', 'urma', 'doua', 'zile', 'astazi', 'sosit', 'sugaciul', 'trage', 'gaseste', 'nebunul', 'ieftin', 'buna', 'casa', 'omului', 'merita', 'banutii', 'recomand']"
0,"['naiba', 'solutii', 'foloseau', 'poti', 'murii']"
0,"['ani', 'vrut', 'fac', 'surpriza', 'parintilor', 'primit', 'multumesc']"
1,['pis']
1,"['samsugist', 'nastere', 'apple', 'facut', 'oameni', 'stil', 'rafinati', 'pare', 'rau', 'vrei', 'ecran', 'inch', 'intrun', 'telefon', 'uiti', 'meciuri', 'prietenii', 'seara', 'hd', 'iphone', 'bune', 'telefoane', 'facute', 'vreodata', 'putere', 'mic', 'ergonomic', 'bateria', 'excelent', 'aseamana', 'aduna', 'cate', 'vad', 'bine']"
1,"['persoanele', 'nc', 'siau', 'seama', 'vaz', 'inhalator', 'aerosoli', 'scpat', 'pana', 'bunicul', 'astm', 'recomand', 'cldur', 'n', 'suflet', 'domnul', 'muiedragnea']"
0,"['tare', 'loredana']"
1,"['slaba', 'calitate', 'potriveste', 'dimensiunea', 'ecranului', 'mica', 'mm', 'parte']"
0,"['sens', 'dati', 'amenda', 'pt', 'ianuarie', 'hotelurisi', 'acolo', 'erau', 'suta', 'persoane', 'interior', 'intrun', 'restaurant']"
1,"['combivati', 'facut', 'cacat', 'emag', 'timp', 'specificati', 'primesc', 'roni', 'combina', 'veche', 'predato', 'curier', 'dati', 'suta', 'conditionat']"
1,"['esti', 'prost', 'noaptea', 'cred', 'facut', 'fizica', 'femeia', 'serviciu', 'pur', 'simplu', 'intelegi', 'dos', 'citesc', 'iau', 'bun', 'scrii', 'citeste', 'fizica', 'clasa', 'xa']"
0,"['aveam', 'ingineri', 'buni', 'productie', 'aveam', 'oameni', 'marketing', 'vanzare', 'economisti', 'investitii']"
0,"['patit', 'pur', 'simplu', 'constient', 'ziceam', 'trezestete', 'haide', 'dai', 'cheie', 'corpul', 'dormea']"
0,"['tasty', 'they', 'perfect']"
1,"['aspira', 'apa', 'api', 'mucoasa', 'nazal']"
1,"['fiind', 'resigilate', 'probabil', 'cas', 'showroomuri', 'jucat', 'meltenii', 'normal', 'defecte']"
1,"['bun', 'allview', 'utok', 'eboda', 'petarde', 'bateria', 'z', 'lag', 'ecran', 'ft', 'bun', 'design', 'frumos', 'l', 'luat', 'altex']"
1,"['cacat', 'ok']"
1,"['usor', 'imprastii', 'noroi', 'decat', 'informezi', 'faci', 'femeile', 'tehnologia']"
1,"['unica', 'folosinta', 'stricat', 'rapid', 'luati', 'bun', 'rahaturi', 'deastea', 'azi', 'merg', 'maine', 'moarte', 'recomand', 'deloc', 'bine', 'iei', 'pompa', 'deaia', 'poti', 'baza', 'porcaria', 'surpriza', 'vrei', 'folosesti', 'mort']"
0,"['adrian', 'niculescu', 'incontinuare', 'maestru']"
0,"['vizionati', 'miniserialul', 'chernobyl', 'hbo', 'bun', 'emotionant']"
1,"['lei', 'ie', 'bune', 'sunet', 'extra', 'bun', 'genurile', 'muzica', 'muzica', 'adevaratul', 'sens', 'cuvantului', 'cacaturi', 'dubstep', 'altcv', 'rock', 'rup']"
1,"['eleg', 'pare', 'rau', 'habar', 'detali', 'tehnice', 'esti', 'langa', 'dbvt', 'digital', 'terestru', 'generatia', 'canalele', 'receptionezi', 'digi', 'pt', 'card', 'bruiate', 'codate', 'back', 'to', 'school']"
0,"['fallout', 'chernobyl', 'edition']"
0,"['ironia', 'soartei', 'limba']"
1,"['hai', 'sictir', 'prostanacule', 'iphone', 'chinezesc']"
1,"['cred', 'probleme', 'intelegi', 'vreau', 'zic']"
1,"['prost', 'esti', 'mah']"
1,"['tepari', 'atenti', 'cretinii', 'astia', 'trimit', 'colete', 'nemo', 'express', 'stiu', 'aiba', 'verificare', 'colet', 'comenzi', 'parteneriat', 'auto', 'lux', 'sunteti', 'cacat', 'luat', 'teapa', 'bec', 'lipsa', 'comanda']"
0,"['fac', 'zoom', 'acolo', 'sunetul', 'exemplu', 'reusit']"
1,"['livrat', 'timp', 'conform', 'data', 'orele', 'selectate', 'punga', 'intacta', 'lumea', 'stie', 'ariel', 'detergent', 'bun']"
0,"['buna', 'reteta']"
1,"['folosit', 'telefonul', 'ore', 'timp', 'lucru', 'spun', 'bateria', 'intreaga', 'ore', 'folosinta', 'nevoie', 'data', 'incarc']"
1,"['mizerie', 'hota', 'bucatariilor', 'romanesti', 'merge', 'bine', 'timp', 'gatesti', 'ceai', 'paste', 'faci', 'ciorba', 'varza', 'calita', 'mici', 'gril', 'dezastreu', 'inceput', 'troncane', 'sara', 'locul', 'montata', 'bun', 'caz', 'rau', 'caz', 'arde', 'motorul', 'ghicit', 'vinovat', 'treava', 'vreti', 'hota', 'satisfaca', 'serveasca', 'tocatoare', 'bani', 'nervi', 'recomand', 'urmati', 'sfatul', 'nevoie', 'doua', 'motoare', 'suficient', 'aiba', 'motorul', 'expus', 'direct', 'zonei', 'gatit', 'hote', 'horn', 'aiba', 'axul', 'motor', 'verticala', 'trebuie', 'aiba', 'viteze', 'folosesti', 'treapta', 'max', 'timpul', 'catesti', 'vrei', 'miroasa', 'bucatarie', 'foloseste', 'scurt', 'traseu', 'evacuare', 'parea', 'neplacuta', 'curata', 'filtrele', 'hota', 'cate', 'poti', 'evita', 'ceri', 'asistenta', 'mentenanta', 'depanero', 'ct', 'jalnici', 'noroc', 'cumparaturi']"
1,"['draq', 'masina', 'ani', 'proiectata', 'mananci', 'c']"
1,"['poti', 'sati', 'bagi', 'pa']"
1,"['teapa', 'china']"
1,"['adevarul', 'deranjeaz', 'vam', 'review', 'excelent', 'produse', 'trebuie', 's', 'acceptai', 'preri', 'puin', 'plcute', 'partea', 'clienilor', 'seara', 'frumoas']"
1,"['coi', 'dai', 'comuri', 'singuri', 'fraieri', 'halesc']"
0,"['tin', 'minte', 'dispensar', 'perioada', 'explozie', 'primi', 'cate', 'pastila', 'iod', 'scopul', 'organismul', 'natura', 'fixeze', 'organism', 'iodul', 'radioactiv', 'raspandise', 'locuiam', 'vestul', 'romaniei', 'preventiv', 'trebuia', 'luam', 'pastila']"
1,"['lai', 'comandat', 'emag', 'dracu', 'comentezi', 'acia']"
0,"['dorian', 'popa', 'faci', 'popa', 'faci', 'popa']"
1,"['credeam', 'bun', 'dup', 'ajuns', 'miam', 'schimbat', 'parerea', 'inclas', 'zete', 'camer', 'tare', 'bateria', 'asafr', 'calitatea', 'pozelor', 'd', 'cact', 'scriu', 'blokeaza']"
0,"['excelent', 'documentar']"
1,"['material', 'subtire', 'puneam', 'mana', 'servetel', 'aveam', 'senzatie', 'aveam', 'puneam', 'mana', 'husa']"
0,"['normal', 'lipsa', 'timp', 'apuc', 'uit', 'documentare', 'lungi', 'teme', 'politicsociale', 'ascultat', 'recomandarea', 'prieten', 'multumesc', 'ore', 'zburat', 'nerasuflate', 'treaba', 'excelenta', 'echipa', 'reporter', 'bine', 'vezi', 'periodic', 'bilant', 'national']"
1,"['casti', 'extraordinare', 'fratele', 'mic', 'hd', 'castile', 'dedicate', 'bani', 'investeasca', 'sunet', 'calitate', 'putin', 'fac', 'glume', 'ieftine', 'site', 'emag', 'devenit', 'pacate', 'taramul', 'taranilor', 'saraci', 'duhul', 'semianalfabeti', 'fac', 'glume', 'ieftine', 'seama', 'lucrurilor', 'calitate', 'detalii', 'serioase', 'fantastice', 'hd', 's', 'veniti', 'site', 'avstore', 'glumele', 'ieftine', 'analfabeti', 'interzise', 'acolo', 'veti', 'afla', 'pareri', 'serioase', 'reale', 'casti', 'detin', 'nuti', 'permiti', 'lucruri', 'scumpe', 'faci', 'misto', 'singurul', 'lucru', 'til', 'permiti', 'esti', 'sarac', 'duhul', 'mistocar', 'cartier']"
1,"['indivizii', 'tia', 'copiat', 'fotografiile', 'covorul', 'zis', 'comercializat', 'internet', 'livreaz', 'taie', 'capu', 'mitic', 'cumprai', 'ceti', 'indivizi']"
0,"['documentare', 'catastrofa', 'globala', 'video', 'bun']"
1,"['laur', 'esti', 'prost', 'putin', 'spus', 'vrut', 'ironic', 'tia', 'iesit', 'diaree']"
0,"['lasati', 'l', 'pace', 'baa']"
1,"['cumparat', 'casti', 'parte', 'leam', 'cumparat', 'datorita', 'reviewului', 'tau', 'lam', 'considerat', 'obiect', 'tin', 'sati', 'multumesc', 'dezinformat', 'legat', 'sunet', 'bine', 'izolate', 'acopera', 'majoritatea', 'zgomotelor', 'camera', 'cati', 'vine', 'greu', 'participi', 'discutie', 'casti', 'cap', 'esti', 'surd', 'casti', 'urechea', 'pana', 'acum', 'oameni', 'cauta', 'izoleze', 'total', 'macar', 'partial', 'lumea', 'inconjuratoare', 'zgomotele', 'ambientale', 'fond', 'casti', 'poti', 'realiza', 'lucru', 'volumul', 'maxim', 'pocnesti', 'degete', 'aude', 'pocnetul', 'fundal']"
1,"['tmpit', 'poi', 'cosmin', 'anghel', 'tiai', 'ncrcare', 'wireless', 'telefon', 'dac', 'vrei', 'normal', 'dac', 'urmrete', 'youtube', 'caut', 'net', 'gseti', 'rspuns', 'baft', 'comenta', 'n', 'necunotin', 'cauz', 'faci', 'rs']"
0,"['abonat', 'ador', 'clipurile', 'respect', 'pt', 'munca', 'prestata']"
1,"['pt', 'sandu', 'petrut', 'sandele', 'optiunea', 'stergi', 'comentariul', 'vorba', 'silviu', 'euro', 'trebui', 'astepti', 'drivere', 'bune', 'cred', 'dumneata', 'permiti', 'trecut', 'printro', 'astfle', 'situatie', 'scos', 'perle', 'gura']"
1,"['puneti', 'sicriele', 'frig']"
0,['lectii']
0,"['vine', 'cred', 'ani', 'zona', 'iradiata', 'cauza', 'erori', 'umane', 'zona', 'locuita', 'timp', 'ani']"
1,"['caci', 'bune']"
0,"['bine', 'pus', 'minute', 'emisiune', 'reclame']"
1,"['hai', 'date', 'drecu', 'vorbeasca', 'lupta', 'contra', 'ecestei', 'chestii']"
1,"['teapa', 'incarca', 'publicati', 'convine', 'vindeti', 'mizerii', 'produse']"
0,"['lasi', 'vlog']"
1,"['muie', 'acces', 'direct', 'felicitari', 'adrian', 'atitudinea']"
1,"['masina', 'saraco']"
1,"['scaun', 'fetita', 'indragit', 'clipa', 'sistem', 'isofix', 'pozitie', 'somn', 'spatar', 'sezut', 'ventilat', 'huse', 'lavabile', 'siguranta', 'sisteme', 'multiple', 'protectie', 'caz', 'impact', 'frontal', 'lateral', 'tetiera', 'reglabila', 'inaltime', 'usor', 'montat', 'masina', 'review', 'porcarie', 'inseamna', 'vrea', 'copilul', 'dvs', 'stea', 'scaunul', 'bun', 'ordine', 'idei', 'perna', 'ofera', 'mobilitate', 'copiilor', 'centurile', 'altor', 'scaune', 'fetita', 'mananc', 'joaca', 'doarme', 'bine', 'scaun', 'perna', 'pusa']"
1,"['bai', 'ordinarilor', 'n', 'uk', 'preul', 'lire', 'reduse', 'lire', 'numii', 'reducere']"
1,"['produsul', 'facut', 'bandladesh', 'joasa', 'speta', 'foc', 'instant', 'luati', 'scriu', 'spele', 'creierele', 'patit', 'luat', 'foc', 'instant', 'leam', 'spus', 'fot', 'folosire', 'necorespunzatoate', 'ie', 'miam', 'luat', 'mueeee']"
0,"['paul', 'trecut', 'paralizi', 'timpul', 'somnului', 'vezi', 'mesaj', 'raspundemi']"
0,"['salut', 'stii', 'eroare', 'proiectul', 'sterge', 'help']"
1,"['saptamana', 'restarta', 'singura', 'trimis', 'luat', 'tab', 'mini', 'voda', 'lei', 'merge', 'beton', 'lenovo', 'sucks']"
1,"['kkt', 'firma']"
1,"['lasa', 'mistourile', 'sti', 'dai', 'raspuns', 'ajuti', 'bine', 'mergi', 'rubrica', 'matrimoniale']"
1,"['masina', 'ok', 'emag']"
1,"['an', 'umpic', 'utilizare', 'luat', 'castile', 'cap', 'efectiv', 'rupt']"
1,"['bateti', 'campii', 'sunteti', 'platiti', 'naiba', 'lai', 'luat', 'produsul', 'redus', 'scazut', 'lei', 'niciodata', 'urmatesc', 'bine', 'luni', 'bulshit']"
1,"['esti', 'gamming', 'gamming', 'esti', 'scrie', 'gamerin', 'rand', 'gaming', 'tiai', 'scris', 'comentariul', 'fundul', 'curtii', 'bunica', 'sat', 'motivez', 'felul', 'scris', 'apasau', 'caprele', 'tastatura', 'informezi', 'tehnologie', 'arunci', 'opinii', 'arunca', 'bunicata', 'mancare', 'porci', 'esti', 'masura', 'judeci']"
1,"['pula', 'pula', 'bag', 'cas', 'smk']"
0,"['figurina', 'povesti', 'jimmy']"
0,"['pct', 'vedere', 'lipseste', 'crucial', 'documentar', 'influentza', 'popilor', 'procesul', 'votare', 'sate', 'pt', 'defineste', 'acesti', 'ani', 'rest', 'felicitari', 'pt', 'film', 'bine', 'facut', 'structurat']"
1,"['serios', 'crezi', 'pune', 'botu', 'reclama']"
1,"['cumprat', 'ceas', 'dv', 'defect', 'cumprtorii', 's', 'atenti', 'cumpr', 'plin', 'tara', 'tepari']"
0,"['vazut', 'episod', 'horror']"
0,"['discutia', 'min', 'incepe']"
